Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
saved,parameters,"(core, vicinity, zerolvl, toplvl,transp):",-1.044067610145305e-12,1004.3413132324224,13.084,6542.0,0.8
23,808,586,197.348,192.755,-0.68385,-0.119427,
23,808,667,188.512,176.716,0.22197,-0.0475548,
23,808,776,186.041,178.32,-0.68385,-0.119427,
23,808,884,187.868,182.748,-1.03982,0.44633,
23,809,652,173.637,165.704,-0.68385,-0.119427,
23,810,672,179.778,172.247,-0.400361,-0.407945,
23,810,787,172.183,162.446,-0.68385,-0.119427,
23,811,751,195.423,184.85,0.0,0.0,
23,811,889,183.653,176.893,-1.165,-0.0485021,
23,812,595,192.706,187.869,-1.23314,-0.490188,
23,812,639,180.591,170.43,-1.25059,-0.22506,
23,813,870,176.96,172.266,-1.69071,-0.495865,
23,813,875,183.241,177.585,-1.25059,-0.22506,
23,817,645,173.971,167.837,-1.34683,-0.131825,
23,817,752,197.409,188.835,-1.75804,-0.205176,
23,817,809,174.228,167.263,-0.286025,-0.361845,
23,817,865,179.769,173.304,-1.75804,-0.205176,
23,818,623,202.874,192.117,0.0,0.0,
23,822,742,182.098,175.979,-2.45503,0.0139876,
23,822,886,172.977,164.734,0.477912,0.255687,
23,824,599,190.173,182.9,-2.45503,0.0139876,
23,824,620,208.252,198.917,0.949876,0.33879,
23,825,591,188.936,184.471,-1.72805,0.00844231,
23,825,675,191.492,185.652,0.0,0.0,
23,825,734,183.854,177.684,-1.72805,0.00844231,
23,825,742,183.917,176.456,0.0,0.0,
23,825,858,195.02,185.692,-0.946222,0.116353,
23,825,864,184.782,179.913,-0.477613,-0.179,
23,826,588,191.164,185.087,-0.946222,0.116353,
23,826,694,200.102,191.918,0.0516242,-0.415279,
23,826,789,176.225,167.861,-0.946222,0.116353,
23,829,655,176.333,172.167,-1.44293,0.483512,
23,829,770,172.691,164.765,-0.946222,0.116353,
23,829,819,177.341,169.762,0.0,0.0,
23,830,733,183.893,177.52,-2.16881,0.310332,
23,830,858,196.003,186.895,-0.851165,0.471518,
23,830,879,169.376,162.966,-0.277738,0.434917,
23,831,603,188.893,185.972,-0.425812,-0.298109,
23,832,621,202.263,196.628,-0.277738,0.434917,
23,834,685,195.25,189.15,0.0,0.0,
23,834,718,189.08,182.923,0.584972,0.978352,
23,834,840,184.351,174.521,-0.156448,0.136965,
23,835,745,190.111,181.235,0.584972,0.978352,
23,835,887,163.091,160.647,2.55149,0.13606,
23,838,675,181.206,178.021,2.11061,0.580176,
23,838,734,178.871,173.437,-0.551638,-0.0603063,
23,838,778,166.684,163.56,2.11061,0.580176,
23,838,834,181.255,172.355,-1.02238,-0.584188,
23,841,777,169.765,161.993,2.11061,0.580176,
23,842,618,207.144,198.31,0.292852,-0.661073,
23,842,677,179.078,172.023,2.11061,0.580176,
23,842,823,165.966,159.302,-0.425812,-0.298109,
23,844,650,198.078,190.572,2.11061,0.580176,
23,844,772,173.273,169.502,0.0,0.0,
23,844,791,175.103,169.097,2.11061,0.580176,
23,844,880,169.65,165.504,0.0,0.0,
23,845,687,181.81,178.562,2.33679,0.333912,
23,846,826,176.301,168.827,0.34538,-0.227251,
23,850,736,180.062,172.191,2.33679,0.333912,
23,851,660,187.831,179.308,0.0347008,-0.0282099,
23,853,805,166.368,160.81,2.33679,0.333912,
23,853,883,187.17,175.789,-1.10161,-0.214801,
23,857,875,186.922,178.9,-1.89208,-0.301776,
23,860,709,175.602,168.154,-0.162199,-0.284652,
23,860,778,173.941,166.01,-1.89208,-0.301776,
23,861,814,164.079,158.388,-0.0539201,-0.582273,
23,862,703,176.268,169.113,-1.89208,-0.301776,
23,864,725,173.961,166.03,0.576192,-0.501683,
23,864,749,197.739,186.948,-1.73978,-0.752237,
23,864,790,178.805,170.362,0.168728,-0.640586,
23,865,799,168.101,159.636,-1.73978,-0.752237,
23,866,599,260.759,244.277,0.0,0.0,
23,867,808,163.309,157.763,-1.73978,-0.752237,
23,868,693,175.972,170.169,0.0,0.0,
23,870,677,175.867,172.456,-1.14916,-0.911222,
23,870,858,175.845,166.035,0.0385927,0.0956118,
23,872,649,209.47,201.669,-0.781987,-0.845957,
23,872,696,173.323,168.202,0.153206,0.523318,
23,872,814,159.726,155.053,-1.47859,-0.375928,
23,873,766,169.861,162.931,0.0957662,-0.0215883,
23,874,806,162.328,155.579,-1.47859,-0.375928,
23,876,834,186.667,176.705,0.422763,0.529096,
23,877,760,166.531,161.121,-1.47859,-0.375928,
23,878,681,172.462,168.808,-1.75255,-0.357553,
23,878,818,168.356,161.668,-1.74675,-0.249364,
23,879,712,172.204,169.173,-0.469915,-0.6743,
23,880,835,192.17,182.902,-1.74675,-0.249364,
23,882,769,177.481,171.31,0.0,0.0,
23,882,811,184.328,169.032,-1.11039,-0.814431,
23,883,688,179.262,167.878,-1.02238,-0.584188,
23,883,858,173.386,166.546,-1.11039,-0.814431,
23,884,664,190.498,184.895,0.292852,-0.661073,
23,884,759,177.847,169.503,-1.11039,-0.814431,
23,884,870,162.508,155.261,0.046248,-0.329418,
23,885,752,176.299,170.408,-1.11039,-0.814431,
23,885,838,192.285,182.24,-0.470431,0.210555,
23,885,882,185.223,173.262,-1.89222,-0.42783,
23,885,886,186.679,172.754,-0.0801336,-0.355957,
23,886,727,183.444,178.564,-0.721301,-0.621984,
23,886,845,212.813,189.342,2.53264,0.175534,
23,887,807,178.217,169.384,-0.721301,-0.621984,
23,889,694,176.816,169.352,-1.61881,-0.656843,
23,889,725,193.516,184.546,-0.721301,-0.621984,
23,889,761,174.643,168.786,0.469736,-0.754973,
23,890,703,171.546,166.045,-0.184024,-0.244158,
23,893,813,170.302,160.902,-2.30025,-0.587712,
23,894,764,172.93,168.385,-0.184024,-0.244158,
23,900,737,203.399,196.703,-0.618665,-0.567616,
23,901,725,187.98,179.751,-0.184024,-0.244158,
23,903,764,174.305,167.791,-0.112549,-0.210003,
23,903,858,182.659,173.29,-0.184024,-0.244158,
23,904,777,176.473,170.391,0.0,0.0,
23,906,774,176.223,169.383,0.123309,-0.350897,
23,907,857,185.701,172.807,-0.165615,-0.502283,
23,911,788,165.126,160.038,0.442811,-0.643358,
23,912,696,180.073,168.895,-2.43662,-0.591915,
23,913,741,188.936,181.463,-1.10453,-0.551319,
23,914,759,182.628,174.774,-0.590544,-0.118019,
23,915,716,177.58,173.302,-0.300429,-0.712039,
23,916,703,173.479,167.096,-0.510469,0.526555,
23,917,776,167.649,162.777,-0.8335,-0.457262,
23,920,883,164.518,158.671,-0.613007,0.137922,
23,920,890,168.296,157.805,-0.8335,-0.457262,
23,921,825,176.379,165.144,0.0,0.0,
23,925,743,188.078,179.725,-1.02442,-0.487498,
23,925,796,173.584,166.33,0.0,0.0,
23,927,688,207.57,196.331,0.30036,-0.120803,
23,927,736,187.465,182.284,0.74441,0.538654,
23,927,763,189.48,181.026,0.30036,-0.120803,
23,928,716,186.062,175.554,0.046248,-0.329418,
23,928,879,159.983,154.372,0.200734,0.121524,
23,930,775,175.446,167.511,-0.778321,-0.164198,
23,931,688,207.431,194.11,-0.281065,0.360257,
23,932,806,172.474,165.303,0.744965,0.689568,
23,932,828,180.849,167.183,0.398347,-0.050829,
23,933,730,194.137,183.253,-0.421679,0.133797,
23,935,697,195.452,187.056,0.398347,-0.050829,
23,939,803,178.052,165.782,-0.22005,-0.333844,
23,939,847,186.876,174.902,0.398347,-0.050829,
23,941,688,193.228,187.956,-0.62967,-0.199205,
23,942,775,176.181,169.858,0.262172,-0.208558,
23,942,826,165.102,160.295,-1.13619,-0.196196,
23,944,814,168.032,163.908,-0.357197,-0.26115,
23,945,807,177.165,167.417,-0.156448,0.136965,
23,946,773,176.68,171.725,-0.736596,-0.352282,
23,947,762,198.753,182.019,-1.33963,0.451544,
23,947,890,200.999,193.81,-0.702542,-0.471751,
23,948,858,166.679,161.533,-0.452,-0.391709,
23,949,798,170.252,162.867,-0.275605,-0.453688,
23,950,749,201.582,186.097,-1.61881,-0.656843,
23,959,693,231.906,214.06,-0.275605,-0.453688,
23,959,838,170.22,161.052,0.0,0.0,
23,960,776,168.631,163.837,0.0765737,0.0783488,
23,962,677,194.992,188.92,-2.32764,-0.712589,
23,967,781,167.667,160.274,0.0765737,0.0783488,
23,977,611,266.287,248.53,0.282608,0.582554,
23,978,772,169.952,160.673,0.0765737,0.0783488,
23,978,799,168.163,158.71,-0.778321,-0.164198,
23,982,790,163.776,157.196,0.654565,0.201055,
23,983,796,170.227,161.814,-0.785429,-0.490804,
23,984,596,189.423,177.122,1.3242,0.172478,
23,984,767,178.216,164.867,-0.667756,0.229249,
23,988,794,167.602,158.957,0.560603,-0.0375184,
23,994,789,170.628,156.967,-0.470431,0.210555,
23,994,805,167.921,162.873,-1.02444,0.115665,
23,995,759,165.694,158.938,-0.13739,-0.225716,
23,997,771,168.229,157.776,-1.66005,0.0638221,
23,998,744,173.494,163.317,-0.76503,-0.398222,
23,999,759,161.907,157.692,-1.66005,0.0638221,
23,999,806,167.149,162.361,-0.0921512,-0.46262,
23,1000,583,160.774,153.992,-0.506737,-0.247754,
23,1000,669,211.424,193.808,-0.111365,0.165787,
23,1000,775,166.705,158.944,0.664798,-0.302981,
23,1003,659,188.719,179.976,-0.0630323,0.307167,
23,1003,832,176.127,170.05,-0.329029,0.554488,
23,1004,621,171.163,165.442,0.192262,-0.619612,
23,1007,594,168.833,163.592,-0.329029,0.554488,
23,1007,641,177.807,170.558,-1.408,0.379444,
23,1007,878,184.856,177.144,-0.104494,0.526666,
23,1008,819,171.068,164.888,-0.710489,-0.725689,
23,1009,733,189.371,179.585,-0.104494,0.526666,
23,1011,727,180.692,174.277,0.0,0.0,
23,1012,868,177.23,172.859,0.707261,0.272476,
23,1015,774,169.498,161.496,-1.28499,0.426607,
23,1017,860,207.248,181.735,0.707261,0.272476,
23,1018,806,169.693,164.736,-0.431848,-0.187007,
23,1019,727,183.002,178.348,0.707261,0.272476,
23,1020,732,190.344,181.434,0.0,0.0,
23,1021,710,186.703,181.033,1.0305,0.112928,
23,1022,721,190.224,178.424,0.0516242,-0.415279,
23,1022,816,181.702,171.034,1.0305,0.112928,
23,1023,802,162.262,155.828,-0.663024,-0.292444,
23,1023,827,188.522,174.945,1.0305,0.112928,
23,1024,623,177.348,165.015,0.0,0.0,
23,1026,655,180.927,170.815,1.0305,0.112928,
23,1026,774,180.928,169.296,0.0,0.0,
23,1028,662,184.166,178.869,0.675158,0.121416,
23,1028,747,185.275,174.764,-1.55896,0.182443,
23,1028,811,196.286,178.364,0.675158,0.121416,
23,1029,695,254.748,212.006,2.57725,0.177692,
23,1031,635,215.578,185.614,0.173342,0.13084,
23,1031,719,203.075,182.291,-1.00507,0.367911,
23,1031,786,161.891,153.915,-0.0129777,0.131743,
23,1032,773,182.197,170.754,0.0347008,-0.0282099,
23,1034,703,191.887,184.362,-0.0129777,0.131743,
23,1034,706,189.881,180.558,-0.421679,0.133797,
23,1034,833,172.238,166.404,-0.0129777,0.131743,
23,1034,848,172.197,159.703,0.207151,-0.35219,
23,1035,650,176.926,170.161,0.0362366,0.25124,
23,1035,798,178.54,166.962,0.744965,0.689568,
23,1035,840,170.643,157.896,-0.607074,0.124392,
23,1037,581,188.809,180.924,-0.68253,0.00643827,
23,1037,844,163.829,156.927,-1.16725,-0.0581608,
23,1038,712,191.087,182.424,-1.85558,-0.0721603,
23,1038,744,195.85,183.728,0.727615,0.0984796,
23,1039,648,176.08,169.885,-0.770616,0.150179,
23,1039,835,169.961,163.272,0.688493,0.256689,
23,1040,656,190.176,176.631,-0.421679,0.133797,
23,1041,809,161.323,153.232,1.2528,0.367844,
23,1042,763,184.196,172.999,-1.85558,-0.0721603,
23,1044,709,191.163,180.394,1.2528,0.367844,
23,1046,728,175.634,165.992,0.0,0.0,
23,1046,889,165.162,152.936,1.29326,0.366315,
23,1048,833,159.949,153.815,-0.0801336,-0.355957,
23,1051,767,219.346,183.276,0.518641,0.496392,
23,1051,775,170.479,162.325,-0.762043,-0.594035,
23,1051,867,193.896,175.631,0.202294,0.299623,
23,1053,594,185.208,172.826,0.0,0.0,
23,1053,660,185.491,169.66,-0.230815,0.252954,
23,1053,722,173.036,166.727,-1.3985,-0.20891,
23,1054,715,175.223,171.889,0.260549,0.282262,
23,1056,702,165.26,162.254,0.282608,0.582554,
23,1056,737,165.971,160.32,0.796628,0.203263,
23,1058,786,171.955,165.271,1.08012,-0.321981,
23,1059,828,161.491,156.166,0.362828,0.30921,
23,1060,671,159.594,152.468,-0.431848,-0.187007,
23,1060,744,178.723,167.451,-0.40261,0.387668,
23,1060,808,161.211,157.335,0.717956,-0.0583769,
24,808,680,172.186,165.044,-0.434197,0.166181,
24,808,722,184.955,178.383,0.744965,0.689568,
24,808,802,165.811,161.408,0.0313786,-0.221459,
24,810,612,201.624,193.995,-0.400361,-0.407945,
24,811,616,201.961,193.856,-0.731708,-0.216041,
24,811,663,179.957,174.912,0.0,0.0,
24,812,589,196.8,187.489,-0.731708,-0.216041,
24,812,731,187.91,179.483,0.0,0.0,
24,813,583,200.111,190.572,-0.896496,-0.149909,
24,813,644,173.21,167.273,-1.66843,-0.669977,
24,813,766,190.625,180.101,0.136334,0.130704,
24,815,717,169.91,163.22,-1.6141,-0.291313,
24,815,776,176.681,171.219,0.136334,0.130704,
24,815,791,167.105,164.275,-0.436971,-0.299883,
24,816,609,207.873,198.124,0.538522,0.422541,
24,816,630,182.501,173.726,-0.710489,-0.725689,
24,816,694,166.248,161.199,0.538522,0.422541,
24,817,649,171.078,165.512,-0.590544,-0.118019,
24,819,634,180.663,174.398,0.538522,0.422541,
24,819,875,176.786,169.539,-1.18048,-0.155093,
24,820,582,197.661,190.532,0.609719,0.463332,
24,820,601,198.241,186.934,0.717956,-0.0583769,
24,821,585,196.947,188.816,0.609719,0.463332,
24,821,625,199.993,190.771,0.0,0.0,
24,821,733,183.582,173.522,1.00169,0.0195939,
24,821,788,171.843,167.772,-0.66451,-0.485628,
24,822,669,187.432,179.748,0.726989,0.0140073,
24,822,816,175.632,169.309,-0.710489,-0.725689,
24,823,614,206.104,198.931,0.216974,0.144044,
24,823,729,176.454,170.876,-0.667756,0.229249,
24,824,806,192.74,179.067,0.216974,0.144044,
24,825,584,197.678,190.509,-1.98408,-0.556294,
24,825,746,180.507,177.62,0.180399,0.139544,
24,827,621,205.776,198.336,-0.514083,-0.457473,
24,828,594,186.946,183.691,0.66306,-0.0522681,
24,828,667,191.621,181.352,0.635955,0.717449,
24,828,749,178.392,173.581,0.0662294,0.27797,
24,830,776,179.396,171.04,-0.928771,0.178156,
24,833,581,198.271,192.92,0.0662294,0.27797,
24,833,608,191.816,186.328,0.818966,0.172417,
24,833,664,184.372,176.707,0.972054,0.000124613,
24,833,669,184.698,179.119,-0.710489,-0.725689,
24,833,807,172.257,164.128,0.821752,-0.0773763,
24,834,630,212.468,203.299,-0.66451,-0.485628,
24,836,765,188.495,176.696,0.821752,-0.0773763,
24,837,661,182.462,174.003,-2.43662,-0.591915,
24,839,607,193.447,188.822,-0.585832,0.238511,
24,839,615,203.366,193.974,-0.778321,-0.164198,
24,839,854,188.38,178.414,-0.4017,0.406836,
24,840,653,186.583,178.15,-1.00507,0.367911,
24,840,704,196.235,184.852,0.289998,0.382721,
24,841,719,175.731,171.141,-0.709994,-0.627326,
24,841,864,203.036,191.085,0.601873,0.314293,
24,842,669,182.385,172.919,-0.193534,-0.322612,
24,842,857,185.375,175.502,0.601873,0.314293,
24,843,665,182.289,173.478,0.0,0.0,
24,844,738,178.181,171.499,0.299978,0.312688,
24,845,621,212.135,203.35,0.0,0.0,
24,845,753,172.745,165.897,-0.186993,0.31553,
24,846,696,188.622,179.329,-1.53878,-0.102775,
24,847,693,188.528,181.528,-0.521854,0.400491,
24,847,710,175.187,168.644,-0.22005,-0.333844,
24,847,865,200.806,188.639,-0.704384,0.230685,
24,848,598,205.476,196.82,-0.452,-0.391709,
24,848,767,166.79,163.961,-0.704384,0.230685,
24,848,823,172.544,163.999,-0.663024,-0.292444,
24,849,871,178.3,172.932,-0.811732,0.309717,
24,849,883,173.937,168.236,-0.400361,-0.407945,
24,850,667,183.977,177.514,0.28937,0.313786,
24,850,717,169.917,165.906,-1.61881,-0.656843,
24,851,654,193.781,186.886,-1.17306,-0.299133,
24,851,704,176.066,170.589,-1.46602,-0.149936,
24,851,783,168.986,163.663,-0.736514,-0.120828,
24,851,827,175.607,166.793,-1.27921,0.149772,
24,852,683,172.519,168.412,-0.306136,-0.141686,
24,852,699,173.105,170.051,-0.618665,-0.567616,
24,854,652,193.159,189.092,-0.306136,-0.141686,
24,855,718,169.641,165.494,-1.13619,-0.196196,
24,855,836,166.518,161.012,-0.160022,-0.259837,
24,856,694,171.44,166.561,-0.62967,-0.199205,
24,857,684,170.353,169.212,-0.224001,-0.479244,
24,857,703,173.394,163.749,-0.436971,-0.299883,
24,857,806,176.016,168.731,-0.666032,-0.460721,
24,857,863,168.157,163.223,0.775826,0.105322,
24,859,600,231.178,222.936,-0.666032,-0.460721,
24,859,688,174.779,167.501,-0.114763,-0.598383,
24,859,786,182.944,171.397,-0.808923,-0.26506,
24,860,682,176.371,170.853,-0.40023,-0.117554,
24,861,665,182.773,176.269,-0.415378,-0.870697,
24,862,686,173.763,170.4,-1.10161,-0.214801,
24,862,828,167.4,161.62,-0.415378,-0.870697,
24,863,680,177.374,171.32,-0.613007,0.137922,
24,864,697,176.516,167.19,-1.01196,-0.761491,
24,864,716,170.059,164.142,-0.431848,-0.187007,
24,865,822,160.643,155.289,-0.928622,-0.365481,
24,866,720,168.704,163.653,-0.413306,-0.525984,
24,866,757,177.42,171.382,-0.537629,-0.171281,
24,867,713,178.183,169.631,-1.45041,-0.49315,
24,868,653,196.633,193.405,-0.53509,0.196125,
24,869,674,176.675,172.986,-0.431848,-0.187007,
24,870,724,173.766,166.142,-0.53509,0.196125,
24,870,747,184.47,177.124,-0.667756,0.229249,
24,870,847,164.011,158.458,-0.428832,0.501138,
24,871,838,185.897,169.383,0.00696131,0.234677,
24,872,779,171.953,163.898,-0.428832,0.501138,
24,873,682,181.755,172.887,-0.0355254,0.0163505,
24,873,717,170.859,167.523,-0.428832,0.501138,
24,875,585,240.884,233.723,-0.66451,-0.485628,
24,875,722,171.174,164.071,1.75766,0.668258,
24,875,732,167.849,164.724,-1.52923,0.439245,
24,878,841,182.993,169.468,1.75766,0.668258,
24,879,666,185.213,179.432,-0.970686,-0.170225,
24,879,703,169.341,164.925,1.58641,0.638269,
24,880,884,190.437,181.948,0.153206,0.523318,
24,882,879,181.389,170.088,0.869623,0.396937,
24,883,692,177.1,171.394,-0.558573,0.443395,
24,884,874,163.027,159.164,0.869623,0.396937,
24,887,690,177.265,170.57,1.76738,0.0545184,
24,887,733,208.756,195.832,0.869623,0.396937,
24,887,800,178.733,170.069,0.0,0.0,
24,887,832,221.614,199.234,1.20667,0.176327,
24,888,700,172.467,166.0,0.576192,-0.501683,
24,888,706,171.495,166.178,0.79504,0.260284,
24,889,745,186.695,182.255,0.168728,-0.640586,
24,890,864,219.044,187.818,0.427095,0.24115,
24,892,840,171.309,163.556,-1.55896,0.182443,
24,894,713,182.991,174.946,0.714959,-0.0185655,
24,895,736,246.831,216.729,0.0,0.0,
24,895,890,168.014,158.087,-1.91877,-0.154825,
24,896,746,184.658,175.426,-0.762043,-0.594035,
24,896,759,170.211,165.397,-1.27247,-0.344603,
24,899,842,168.256,161.654,0.0,0.0,
24,900,699,167.335,159.37,0.486102,-0.637204,
24,900,716,173.121,170.317,-0.667756,0.229249,
24,900,825,174.312,165.373,0.825689,-0.581803,
24,903,739,198.378,189.133,-1.55896,0.182443,
24,904,726,186.413,174.569,-0.130182,-0.244433,
24,906,697,175.361,167.933,-0.616888,-0.377202,
24,906,710,170.592,163.478,-0.617897,-0.111272,
24,907,817,196.324,182.001,0.67269,0.454994,
24,908,843,164.315,158.052,-0.483613,-0.260706,
