Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
saved,parameters,"(core, vicinity, zerolvl, toplvl,transp):",-5.2295147379144424e-12,3801.4087792968771,327.67500000000007,32767.5,0.8
45,531,520,3293.72,2467.06,-0.0748987,-0.204726,
45,538,536,5152.03,3556.34,9.67248,5.39421,
45,541,519,2886.35,2434.11,-0.577042,-0.0797449,
45,542,338,1868.26,1642.5,21.0302,10.6566,
45,553,509,3587.53,2844.83,0.609279,0.214659,
45,557,520,3764.1,3144.16,28.8111,14.0002,
45,557,552,3589.46,3180.45,0.0314281,-0.178374,
45,676,429,2227.6,1642.12,-5.80066,-1.9659,
45,680,343,229.516,197.63,9.71403,0.759572,
45,686,351,1573.08,700.473,-0.841419,-0.0658979,
45,708,349,154.624,144.22,5.97151,5.39255,
45,718,354,141.14,136.604,-0.577042,-0.0797449,
45,723,345,141.808,135.276,5.97151,5.39255,
45,728,415,171.241,163.812,0.944546,0.167806,
45,731,380,145.046,138.13,0.742319,0.527989,
45,732,352,138.86,133.52,-0.0748987,-0.204726,
45,736,352,136.269,131.591,1.77146,4.37255,
45,739,344,135.147,131.011,-1.18737,-0.413667,
45,743,343,135.653,131.67,-7.77844,-0.786845,
45,743,386,139.252,135.894,-0.940599,-1.34766,
45,746,372,137.625,134.042,-15.6433,-4.2694,
45,749,369,135.175,133.484,-2.58905,0.709274,
45,752,380,139.437,133.773,8.68711,3.28487,
45,757,385,136.538,132.812,-9.70786,-3.87131,
45,757,467,173.336,158.003,-9.31416,2.43237,
45,760,362,135.987,129.497,16.3077,11.3911,
45,761,514,212.988,182.291,22.5138,10.5886,
45,763,344,133.87,128.338,-4.1165,-1.91023,
45,768,389,134.458,129.316,-66.2657,-43.3109,
45,770,406,135.933,131.215,-0.715604,-0.352594,
45,772,436,139.834,133.171,-58.367,-39.3776,
45,777,359,130.948,126.191,-5.45447,-3.05281,
45,778,450,140.105,133.58,-53.6644,-33.8911,
45,781,343,128.896,123.214,4.70135,4.12138,
45,781,449,136.162,133.039,-26.5009,-16.1684,
45,781,630,143.31,138.494,4.70135,4.12138,
45,784,443,135.124,131.733,-19.9843,-8.12075,
45,791,342,125.822,122.33,-2.68621,-1.26614,
45,793,625,142.434,134.893,-0.439934,9.36246,
45,797,468,134.929,129.895,-0.940599,-1.34766,
45,800,392,129.377,125.65,-0.439934,9.36246,
45,800,425,132.323,128.035,0.195953,-0.496842,
45,801,386,127.837,123.227,1.9011,8.88386,
45,801,409,130.286,124.762,-21.5292,-9.19208,
45,801,623,138.805,134.407,4.68922,10.0013,
45,802,417,130.689,126.577,-21.0223,-6.81147,
45,803,476,134.976,129.312,83.3421,33.5868,
45,804,576,140.127,134.769,-5.45447,-3.05281,
45,805,425,132.862,127.264,77.7289,40.602,
45,806,472,134.942,128.672,-0.0204557,-0.722602,
45,808,384,126.656,122.832,77.7289,40.602,
45,808,490,137.532,131.59,-1.48228,-0.0137519,
45,808,610,141.918,131.891,70.1197,39.9968,
45,809,482,134.715,128.51,8.31534,12.8011,
45,810,356,125.718,122.516,67.264,35.4511,
45,811,343,121.719,120.53,0.317877,0.135794,
45,813,539,138.183,131.694,39.1636,16.7356,
45,815,592,138.073,131.464,-2.68621,-1.26614,
45,816,425,130.148,124.792,-43.3254,-33.8373,
45,816,629,134.784,129.892,-0.759793,-0.561513,
45,817,451,130.388,125.298,-44.2346,-48.2313,
45,817,468,130.8,125.762,0.873165,-0.731122,
45,817,536,134.686,131.072,-67.9607,-58.0327,
45,818,352,123.713,119.961,-0.395058,-0.222935,
45,819,395,126.708,122.622,-97.7407,-63.7069,
45,819,477,131.139,126.66,22.3447,19.5701,
45,820,401,127.001,122.678,-91.5387,-61.2328,
45,820,537,133.933,130.126,-1.97309,-1.09365,
45,821,544,132.493,129.057,-63.6774,-39.1572,
45,822,405,129.595,122.989,-0.940599,-1.34766,
45,822,472,131.043,126.055,-63.6774,-39.1572,
45,822,507,134.911,127.899,-1.79558,-0.947157,
45,823,400,125.036,123.213,-63.6774,-39.1572,
45,827,527,132.127,125.872,-0.365988,0.0856755,
45,827,585,132.926,128.072,-22.7631,-14.0117,
45,827,615,131.868,127.52,-1.34144,-0.964234,
45,828,383,123.215,120.438,-75.7605,-44.6328,
45,828,411,128.362,122.595,-0.110161,-1.68872,
45,828,501,133.541,127.116,-56.1314,-42.4826,
45,829,461,130.043,125.028,-0.00235365,-0.0357681,
45,829,530,130.891,125.228,-47.0813,-24.0421,
45,830,341,124.335,119.841,-1.16362,-0.356442,
45,831,513,129.184,125.767,-38.4104,-26.9021,
45,831,588,133.048,127.928,0.326006,-1.12496,
45,832,449,129.415,124.095,-38.4104,-26.9021,
45,833,446,127.348,123.144,0.264366,-0.217819,
45,834,503,132.766,126.778,-47.9665,-29.7405,
45,835,362,122.31,119.824,0.195953,-0.496842,
45,835,400,124.023,121.144,-47.9665,-29.7405,
45,835,487,129.94,124.811,-0.0529219,-0.470259,
45,836,553,132.322,126.596,-47.9665,-29.7405,
45,837,407,125.522,120.385,0.475185,0.000461304,
45,837,413,124.48,120.745,-56.0663,-34.9973,
45,838,492,133.301,125.249,-0.0640236,-0.637723,
45,840,539,127.384,125.697,-60.192,-41.4272,
45,841,392,123.912,119.713,0.47288,-0.197623,
45,841,507,130.28,125.74,-63.4871,-46.2808,
45,841,584,131.813,126.395,-0.139044,-0.0524349,
45,843,399,124.606,119.546,-65.7396,-48.5433,
45,843,521,127.132,123.869,0.264366,-0.217819,
45,845,435,124.658,121.188,-62.0187,-48.5593,
45,847,510,128.249,124.764,-1.02557,-0.0373496,
45,847,535,130.165,125.57,-47.4767,-41.2086,
45,848,451,127.009,121.826,-0.92417,-1.02999,
45,848,516,128.406,124.823,-47.4767,-41.2086,
45,849,346,120.546,116.63,0.504118,0.216032,
45,849,426,124.794,120.3,-47.4767,-41.2086,
45,849,507,127.451,124.166,0.0513094,-0.0533811,
45,849,525,132.604,124.931,-41.7155,-34.2472,
46,523,532,2405.41,1848.45,-0.184291,-0.0869501,
46,550,499,2754.07,2209.86,-32.6559,-27.5833,
46,550,522,2802.43,2524.16,22.1198,16.9995,
46,550,542,3267.72,2887.32,-22.5807,-21.1236,
46,643,377,2309.4,1629.29,-0.940599,-1.34766,
46,663,406,1442.66,1100.65,-8.98787,-8.73928,
46,675,423,2237.56,1654.36,0.0192234,0.337765,
46,700,500,2345.26,1932.97,6.96694,-3.63545,
46,724,339,137.871,133.265,-0.664926,-0.0154582,
46,733,368,141.641,136.336,7.75033,-2.5043,
46,738,448,188.85,178.42,0.264366,-0.217819,
46,746,354,138.586,131.512,7.75033,-2.5043,
46,747,471,212.417,195.87,-0.488658,0.00954761,
46,748,375,138.214,134.281,2.06111,-1.92784,
46,765,442,143.512,137.023,-2.24059,-1.11386,
46,766,343,132.885,127.565,2.06111,-1.92784,
46,767,366,134.073,131.173,-1.16362,-0.356442,
46,770,381,135.455,130.771,2.06111,-1.92784,
46,772,377,134.434,128.341,0.609279,0.214659,
46,776,459,146.329,137.567,-4.3939,-2.55595,
46,777,376,132.519,127.339,4.70135,4.12138,
46,778,363,130.696,127.238,-6.58522,-4.56227,
46,779,347,129.199,124.7,-2.88145,-1.05937,
46,780,384,132.745,127.65,-6.58522,-4.56227,
46,780,402,134.442,129.268,0.212497,-0.221934,
46,783,349,130.129,124.335,-6.33544,-6.69067,
46,784,415,134.576,131.785,-0.809817,-0.222139,
46,785,397,132.383,129.181,-6.33544,-6.69067,
46,798,560,145.883,140.27,0.304364,0.337586,
46,800,396,129.442,126.02,-7.24329,-7.48014,
46,801,355,124.51,122.941,0.103,-0.0422037,
46,804,615,142.555,135.214,-8.87898,-6.79054,
