Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
saved,parameters,"(core, vicinity, zerolvl, toplvl,transp):",-14.125000000001128,9604.4816223141788,148.31250000000009,7062.5,0.8
34,510,510,258.519,244.153,-1.94507,-0.694877,
34,513,524,307.043,277.111,-14.871,-4.92352,
34,518,397,239.627,199.061,-1.55457,-0.511343,
34,520,408,183.107,177.401,-0.774946,0.094829,
34,524,564,328.023,289.848,4.17898,3.16669,7
34,525,546,320.801,275.421,3.94479,1.4988,7
34,527,557,389.912,309.077,8.55247,3.98979,7
34,530,449,211.96,192.601,3.48412,1.54269,
34,553,553,319.842,233.739,3.54907,3.33397,7
34,555,625,192.851,181.632,-0.74135,-0.00647217,
34,556,579,274.019,241.763,2.11066,1.76512,
34,558,515,203.471,190.5,-0.260122,-0.568045,
34,558,536,312.844,223.388,-1.11799,-0.687042,7
34,563,632,210.857,198.224,0.823797,0.656191,
34,574,535,253.063,229.672,-1.0154,-1.52983,
34,578,496,199.967,189.66,-0.0798182,0.334795,
34,580,508,196.455,184.959,-1.95716,-0.596642,
34,622,580,186.389,173.291,0.426085,0.115254,
34,622,614,183.593,171.28,-2.05314,-2.3891,
34,625,466,199.921,173.745,0.0323502,0.031328,
34,626,481,413.377,354.317,-4.47647,-3.39609,
34,628,478,416.757,340.462,-0.189608,-0.247138,
34,634,645,173.02,167.886,-9.48717,-4.2994,
34,647,670,178.586,167.469,-1.26914,-2.47239,
34,661,396,653.311,387.294,-9.48717,-4.2994,
34,673,607,166.711,159.01,0.100359,-0.329044,
34,674,615,164.724,157.449,-4.25124,-3.54046,
34,682,475,4336.88,3731.37,-0.123314,-0.165742,
34,690,584,408.712,310.18,-2.96606,-1.93386,
34,693,541,556.545,481.966,0.0794718,-0.233679,
34,694,551,524.261,467.086,0.12135,-2.26605,
34,721,433,126.217,123.623,37.9325,11.4149,
34,722,452,127.854,122.962,-3.22845,-2.73674,
34,729,407,128.257,123.723,-17.8332,-6.92671,
34,733,461,125.053,120.254,-3.6742,-2.17503,
34,735,464,124.596,120.546,-0.0691087,-0.138051,
34,736,421,127.353,121.831,-3.6742,-2.17503,
34,736,430,125.689,121.719,-0.116253,0.108367,
34,741,435,124.244,120.829,-1.973,-2.02152,
34,741,438,124.02,120.518,-5.41826,-1.7362,
34,742,405,126.139,122.962,-2.42486,-1.82189,
34,745,452,124.938,120.748,-4.25925,-2.42608,
34,749,427,126.156,120.019,-1.58556,-1.8691,
34,753,441,124.415,119.934,1.34533,-0.981385,
34,753,446,123.034,118.808,-0.639451,-1.93063,
34,754,417,124.715,120.893,0.77307,-0.0513543,
34,758,493,124.494,119.887,1.14326,1.10612,
34,758,553,122.659,118.445,-0.203024,-0.000855048,
34,759,392,125.058,121.18,-2.21511,-1.92307,
34,759,464,123.237,118.683,3.12315,1.24666,
34,759,484,123.434,118.924,-1.69385,-2.8656,
34,760,427,124.16,119.428,-0.291374,-0.000398723,
34,760,455,121.616,117.468,-5.01358,-2.95565,
34,761,469,122.892,117.616,0.0990167,0.0547077,
34,761,477,123.107,118.296,-4.69404,-5.80887,
34,761,504,123.417,119.454,-5.60417,-0.817546,
34,762,414,123.668,119.141,-6.76401,-3.89586,
34,765,524,121.748,117.895,-0.287884,0.08925,
34,765,553,119.625,116.695,1.52665,4.09741,
