Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
saved,parameters,"(core, vicinity, zerolvl, toplvl,transp):",-5.2295159847469408e-12,1016.4376618652349,65.535015625,32767.5078125,0.8
101,450,576,215.697,204.972,-1.97384,-0.489166,
101,456,437,178.75,171.047,0.0922393,0.0149572,
101,456,565,198.165,192.139,-0.012332,-0.0312445,
101,458,574,204.372,194.872,-0.08894,-0.340006,
101,464,390,198.353,189.229,-0.012332,-0.0312445,
101,468,542,206.994,199.287,0.0561061,-0.066792,
101,471,376,209.509,195.893,-0.284573,-0.184724,
101,476,409,233.442,222.867,0.345223,-0.202117,
101,480,584,204.921,194.948,-1.41217,0.0159556,
101,488,393,211.146,200.127,-1.74635,-0.526774,
101,490,592,188.679,180.59,1.04879,0.345105,
101,504,584,186.965,178.318,0.0999721,0.11452,
101,515,460,209.228,198.523,0.313698,-0.126014,
101,519,533,172.274,162.783,-1.29454,-0.842605,
101,522,500,187.522,179.386,-0.217819,-0.152846,
101,522,508,187.259,178.253,-0.458194,-0.305611,
101,531,466,199.567,189.57,-0.609866,-0.0497947,
101,531,493,186.757,179.111,0.0,0.0,
101,532,525,173.648,164.919,0.727188,0.0140105,
101,535,415,201.565,194.253,-0.186554,-0.617326,
101,544,444,207.59,200.811,-0.207928,-0.0487218,
101,545,519,171.079,162.451,0.0,0.0,
101,548,446,206.579,198.036,-0.502609,-0.547693,
101,554,459,194.255,187.792,0.0,0.0,
101,562,584,174.544,167.377,1.67781,0.575556,
101,571,450,192.135,185.607,1.17179,0.437518,
101,575,444,199.383,192.829,-1.72604,-0.164205,
101,576,460,197.997,190.632,-0.723146,0.0519684,
101,593,494,262.112,224.843,0.336383,-0.062187,7
101,610,398,273.267,258.838,-0.553515,0.0518147,
101,615,453,183.886,176.91,0.336383,-0.062187,
101,617,493,211.989,195.797,0.436911,-0.103201,
101,621,471,184.909,178.037,-0.339759,-0.381074,
101,622,516,196.427,188.614,1.1865,0.418529,
101,626,448,237.516,202.466,-0.339759,-0.381074,7
102,445,572,226.076,208.5,0.662972,0.317725,
102,448,599,202.962,189.112,-0.566298,-0.323177,
102,450,594,211.434,200.581,0.382733,0.267983,
102,452,573,210.986,202.791,-0.0668655,-0.465465,
102,454,446,182.227,176.681,-0.830352,0.194334,
102,462,450,205.967,187.8,0.645619,-0.805597,7
102,465,583,198.053,191.411,0.0600772,0.0259602,
102,466,383,209.345,197.326,-0.0685496,-0.628102,
102,473,402,229.335,220.198,0.562569,-0.042258,
102,473,583,198.578,192.397,0.212305,-0.759043,
102,474,381,210.966,197.57,0.703776,-0.250751,
102,475,453,217.701,209.556,-0.0244171,-0.685301,
102,477,413,237.933,225.718,0.915751,0.547663,
102,481,524,198.22,194.685,-2.02116,-1.34653,
102,483,595,198.347,184.981,0.0,0.0,
