Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
saved,parameters,"(core, vicinity, zerolvl, toplvl,transp):",-2.0659515764798186e-12,1001.5945092773443,64.724999999999994,12945.0,0.8
67,434,445,308.189,247.901,-2.40628,-0.644586,7
67,444,618,204.127,191.224,-0.494108,-0.830156,
67,446,502,364.443,298.06,0.262,-0.825837,7
67,455,614,205.054,193.389,1.14753,-0.291737,
67,457,607,201.216,194.7,-2.31648,-0.326926,
67,465,415,198.038,188.062,0.972958,0.213575,
67,474,619,227.783,214.34,-0.656795,0.152027,
67,480,600,228.845,220.335,-1.34877,-0.739956,
67,481,628,227.99,215.312,-0.366423,-0.308245,
67,482,564,279.879,257.787,-0.304895,-0.254159,
67,484,556,276.417,254.608,-1.60126,-0.680999,
67,490,532,243.755,236.194,-19.3784,-7.17546,
67,490,576,228.373,217.177,-0.775758,-0.831285,
67,490,636,222.629,214.019,2.36385,-0.0176479,
67,495,568,225.261,215.675,-0.989453,-0.701867,
67,498,612,217.447,206.094,1.60602,0.841837,
67,500,455,225.539,210.936,-0.641073,-0.853122,
67,509,584,225.72,215.317,-0.776442,-0.249108,
67,510,480,215.074,201.931,-0.95343,-0.616518,
67,513,567,204.398,193.853,-0.689529,-0.682477,
67,514,500,226.113,210.402,-0.870399,0.0992781,
67,514,631,209.057,200.692,-0.73552,-0.536762,
67,517,549,209.339,202.675,0.523882,0.201375,
67,517,603,221.218,206.294,-0.24702,-0.187822,
67,521,556,252.214,216.635,0.523882,0.201375,
67,524,508,212.45,196.755,0.468008,-0.152653,
67,524,544,206.843,196.887,0.523882,0.201375,
67,528,538,213.536,201.924,-1.65912,-0.43004,
67,530,469,204.95,194.689,-0.0588154,0.0699098,
67,531,595,265.176,228.3,1.56573,0.145437,7
67,533,452,204.927,196.596,-0.275006,0.15,
67,533,548,202.598,194.452,-1.88354,-0.324671,
67,538,438,239.113,197.845,0.241756,-0.00574825,7
67,539,622,238.844,229.845,0.380014,-0.368739,
67,544,550,219.94,208.317,2.03692,0.245944,
67,545,580,236.892,222.558,1.31818,0.729456,
67,547,534,211.478,202.458,1.66738,0.109105,
67,548,478,215.641,204.746,0.00771699,0.668858,
67,552,550,222.845,210.32,-2.44511,-0.0215788,
67,555,526,214.732,200.149,1.23969,-0.0125768,
67,559,501,216.063,196.747,-1.76278,0.0589139,
67,561,521,220.168,208.988,0.211279,0.505251,
67,568,567,246.1,238.649,-1.76278,0.0589139,
67,569,527,216.633,210.758,-0.650683,-0.24891,
67,571,439,234.601,210.0,1.19919,-0.0751132,
67,573,465,226.518,205.025,0.325842,-0.0658542,
67,573,564,246.942,234.694,1.19919,-0.0751132,
67,575,450,197.291,188.388,-1.9725,-0.388101,
67,583,498,213.835,205.985,-1.44542,-0.48998,
67,595,442,222.352,211.536,-0.73552,-0.536762,
67,616,459,333.52,247.775,1.26346,-0.389739,7
67,616,566,220.012,214.168,-0.982244,-0.534973,
67,617,559,228.164,216.907,1.26346,-0.389739,
67,617,578,222.608,212.913,-0.0437841,0.0924708,
67,618,547,216.575,206.033,0.425707,-0.370026,
67,618,587,227.294,216.691,0.137097,-0.537285,
67,619,597,239.984,226.977,0.262503,-0.202745,
67,620,578,220.953,214.467,-1.42368,-0.239004,
67,620,608,246.024,231.158,0.651633,-0.211218,
67,621,570,218.885,210.088,-0.821762,-0.459482,
67,623,454,274.033,243.402,0.216568,-0.445854,7
67,623,596,234.955,221.881,-0.801513,-0.439565,
67,627,582,223.65,214.454,0.216568,-0.445854,
67,627,589,224.823,213.076,0.246419,-0.0176274,
67,630,505,218.225,208.186,-0.622506,-0.698135,
67,630,567,226.698,217.349,-1.27754,-0.655675,
67,632,535,217.602,208.642,-0.428605,-0.482042,
67,632,607,243.406,228.762,-0.902484,0.59045,
67,633,616,247.94,241.768,-1.27427,-0.177963,
67,637,616,250.672,241.126,0.368459,-0.171902,
67,638,564,248.683,223.565,-0.569975,-0.262275,7
67,638,574,219.956,210.57,0.319445,0.342492,
67,639,624,269.129,253.698,-1.22719,-0.290762,
67,640,514,210.556,203.735,-0.866214,-0.28404,
67,641,560,220.449,210.374,-2.12563,-0.230716,
67,641,604,227.91,218.575,0.382425,1.01358,
67,646,577,221.69,206.264,-1.01846,-0.478565,
67,648,457,205.167,192.982,0.368459,-0.171902,
67,649,475,205.377,195.65,-0.0701015,-0.878213,
67,649,597,224.807,216.584,-1.62286,-0.280057,
67,650,555,213.018,206.344,-2.03336,-0.887541,
67,652,558,216.157,208.934,0.834201,0.322793,
67,654,584,220.281,213.956,-1.30839,-0.899651,
67,658,519,203.926,195.823,-0.663623,0.329475,
67,660,516,202.831,197.455,-0.296781,-0.302029,
67,660,599,231.569,220.295,1.23969,-0.0125768,
67,661,572,212.615,199.736,-1.86064,-0.47644,
67,666,508,194.768,187.601,-1.75968,-0.426066,
67,667,519,211.185,200.196,-1.43175,-1.26458,
67,670,513,207.893,193.772,-1.76253,-0.632953,
67,670,529,207.755,199.39,-1.47746,-1.45965,
67,670,539,224.623,214.153,0.888224,0.0596657,
67,671,544,252.348,220.896,-1.47746,-1.45965,
67,673,475,240.639,224.703,-0.689529,-0.682477,
67,674,529,213.425,199.705,-3.2608,-1.0749,
67,674,574,215.405,204.334,0.0953261,-0.704873,
67,674,601,250.276,240.08,-0.226074,-0.572152,
67,675,590,238.591,228.665,0.489462,0.770999,
67,676,462,224.685,214.126,-2.97793,-1.10347,
67,677,420,417.783,271.51,-2.06896,-0.799561,7
67,677,434,299.106,258.21,-1.8423,-0.478442,7
67,677,599,255.918,245.053,-0.297024,-0.100458,
67,680,521,253.589,226.228,-1.8423,-0.478442,
67,680,620,264.403,254.273,0.366098,-0.177866,
67,684,421,257.094,235.565,-1.42823,-0.511056,
67,685,588,225.963,217.84,-1.80047,-0.757443,
67,686,483,223.871,211.662,-1.42823,-0.511056,
67,686,616,253.319,243.767,0.123394,0.264371,
67,690,553,218.753,208.698,-1.04708,-0.476,
67,692,541,226.675,214.039,0.3377,-0.0575734,
67,692,609,263.769,249.522,-1.04708,-0.476,
67,696,558,222.464,210.643,1.89129,0.860984,
67,698,593,225.548,217.391,-1.09023,-0.338344,
67,699,497,223.355,210.767,2.02929,0.204953,
67,702,484,239.657,215.514,-0.832579,-0.29221,7
67,704,520,218.313,204.947,0.123394,0.264371,
67,704,553,254.535,224.399,-0.832579,-0.29221,7
67,705,469,218.581,209.303,-1.01131,-0.131573,
67,705,565,231.124,213.711,-0.270492,-0.394462,
67,707,514,216.679,202.921,1.14769,0.148723,
67,708,465,209.013,195.914,-0.803266,-0.129085,
67,713,453,242.236,220.638,0.498198,-0.438454,
67,717,570,221.327,210.695,-0.803266,-0.129085,
67,718,451,201.268,191.724,0.42091,-0.160082,
67,725,543,208.465,194.134,-0.811248,-0.00563929,
67,730,541,213.263,199.272,-0.871407,0.517178,
67,731,459,230.632,206.342,-0.811248,-0.00563929,
67,732,507,212.636,201.994,1.04589,0.404524,
67,733,432,210.787,197.568,0.904933,0.249265,
67,736,500,208.832,198.56,-0.627787,-0.363966,
